symbol,adtv
PXD,2409669
PXMD,1170465
PYCR,503481
PYPL,14163685
PYXS,1438190
PZZA,579555
QBTS,1071714
QCOM,8009836
QD,783989
QDEL,579188
QFIN,1362752
QGEN,888119
QNCX,1267127
QNRX,576044
QRTEA,8401427
QRVO,1303235
QS,6800122
QSI,710434
QSR,1537602
QTWO,604632
QUBT,503194
QUOT,739186
QURE,622585
RAD,2613924
RADI,2252839
RAMP,616601
RARE,701037
RBA,2102306
RBBN,748638
RBLX,14745935
RC,1167626
RCKT,923635
RCL,4676390
RCM,3780098
RCON,595226
RCUS,1061214
RDFN,4439531
RDN,1807160
REAL,3646361
REE,778558
REG,976789
REGN,660596
REI,2337860
RELX,916822
RELY,1019922
RENT,1779180
REPL,515620
RES,1289242
RETA,1097725
REVEW,709224
REXR,1425876
REZI,735386
RF,9697719
RGEN,597100
RGTI,1205372
RH,755804
RHI,1033109
RIDE,5210777
RIG,24004805
RIGL,3521610
RIO,3583745
RIOT,14041444
RITM,5027163
RIVN,23610129
RJF,1483944
RKLB,3425602
RKT,3230305
RL,933080
RLAY,1189982
RLJ,1628361
RLMD,816157
RLX,13249335
RMBS,956766
RMD,590065
RMED,1142640
RNA,1402026
RNAZ,2461332
RNG,2125907
RNW,1091760
ROIC,1043466
ROIV,2339140
ROK,706369
ROKU,8402510
ROL,1483368
ROP,533134
ROST,2485731
RPAY,968778
RPD,1068428
RPM,615443
RPRX,1701703
RRC,4556694
RRX,578226
RSG,1399673
RSI,642723
RTL,694358
RTO,904290
RTX,4623539
RUBY,2630378
RUM,1618787
RUN,8208110
RVLV,1267425
RVMD,1103882
RVNC,1412831
RWT,1358776
RXDX,695294
RXO,1385552
RXRX,1088930
RXT,1807416
RY,885942
RYAM,605425
RYAN,782604
RYTM,648648
S,4852041
SABR,6787708
SAN,4921717
SANA,982031
SAND,2557165
SAP,1005450
SATX,874625
SAVA,1289260
SAVE,1324549
SB,906567
SBAC,796138
SBCF,720741
SBGI,649014
SBH,1511435
SBLK,1629447
SBNY,2994863
SBRA,2037952
SBS,2788814
SBSW,3207113
SBUX,6675678
SCCO,1413357
SCHW,14399270
SCI,991606
SCS,839898
SCYX,698273
SD,568812
SDC,2226075
SDGR,598756
SDIG,1245257
SE,5768014
SEAS,774241
SECO,894282
SEDG,1135111
SEE,1119669
SEEL,608854
SEIC,509117
SELB,965571
SEM,561907
SENS,2877101
SERA,702427
SEV,1308465
SF,727060
SFIX,2937037
SFL,879929
SFM,1433388
SFNC,565656
SG,1620366
SGEN,1163694
SGH,579194
SGML,748432
SGMO,1543490
SGRY,781276
SHAK,842198
SHC,2192338
SHCR,1267413
SHEL,4964719
SHLS,2867533
SHO,2278548
SHOO,849097
SHOP,22571773
SHPH,1016206
SHW,1543981
SI,11681823
SID,3644165
SIDU,2898994
SIG,779450
SIGA,968850
SILV,1334685
SINT,582845
SIOX,618896
SIRI,15929220
SITC,1902890
SIX,1910256
SJM,865727
SJR,908278
SJT,741728
SKIN,2003831
SKLZ,9275423
SKT,832616
SKX,1712646
SKYW,603518
SLB,11651895
SLCA,749547
SLDP,2094244
SLF,604884
SLG,1953935
SLGC,1191031
SLI,810252
SLM,2087302
SLNO,1043661
SLQT,2259566
SM,1799234
SMAR,1388035
SMCI,1275294
SMFG,3645352
SMG,877631
SMMT,5777427
SMPL,590965
SMR,661948
SMRT,1092772
SMTC,1254706
SNAP,38222226
SNCE,620211
SNDL,3924756
SNDR,583364
SNDX,826973
SNN,880570
SNOA,1383169
SNOW,5703747
SNPS,890548
SNTI,1497596
SNV,1441911
SNY,2372035
SO,4549100
SOBR,2041602
SOFI,40083057
SOL,534494
SOLO,920048
SOND,928401
SONN,2412166
SONO,1855682
SONY,843036
SOUN,6636959
SPB,626813
SPCE,7618935
SPG,1741751
SPGI,1603799
SPLK,2146831
SPNT,548668
SPOT,1999135
SPPI,1926846
SPR,2155092
SPRB,810338
SPRC,1038005
SPRO,769662
SPRU,614131
SPT,603255
SPWR,4089169
SQ,14489279
SQL,1585313
SQM,1644929
SQSP,606256
SRC,805964
SRE,1312837
SRG,652516
SRPT,1169277
SRZN,642308
SSB,600612
SSNC,1444909
SSRM,1535126
ST,1204345
STAA,683918
STAG,1199685
STAR,1159731
STE,560676
STEM,3933444
STGW,617795
STKL,958155
STLA,5852012
STLD,2133093
STM,3732004
STNE,5555302
STNG,1391206
STR,636106
STRO,504223
STT,2846369
STWD,3476376
STX,2648377
STZ,1231970
SU,4969568
SUI,662435
SUM,724262
SUMO,1952637
SUNL,539269
SUNW,665095
SUZ,1652956
SVC,1330821
SVM,1327294
SWBI,654144
SWIM,572800
SWK,1935943
SWKS,2028825
SWN,26158923
SWTX,737161
SWX,570435
SXC,878276
SYF,5639973
SYK,1387501
SYNH,1557287
SYTA,5336535
SYY,2427620
T,38623055
TAK,2871421
TAL,8853826
TALK,549442
TALO,1305252
TAP,1412262
TBLA,2040351
TBLT,1429619
TBPH,608009
TCBI,520803
TCBP,606311
TCN,1056866
TCOM,5862301
TCRT,1330651
TD,1985556
TDC,971023
TDOC,4361097
TDS,2301749
TDUP,1397786
TDW,749171
TEAM,2879133
TECH,1088465
TECK,3863500
TEF,1267825
TEL,1725451
TELL,11373127
TENB,885156
TENX,2144266
TER,1671170
TEVA,9224606
TEX,770212
TFC,9794873
TGB,1404896
TGI,942143
TGNA,1884562
TGT,3979274
TGTX,4339777
TH,641760
THC,1818185
THMO,607993
THO,750663
TIGR,1313426
TIL,1131052
TIMB,582870
TIVC,534913
TJX,5392194
TK,1043523
TKR,576669
TLRY,19477753
TLS,856139
TMBR,602503
TMC,1358508
TME,9943825
TMHC,968273
TMO,1485180
TMUS,5343224
TNDM,1188869
TNL,797333
TNXP,4107528
TOL,1541017
TOPS,4421173
TOST,6192844
TOUR,885819
TPG,556845
TPH,855331
TPIC,800296
TPR,3444259
TPX,1922615
TREX,1211299
TRGP,2025254
TRIP,2365252
TRKA,45944952
TRMB,1308829
TROW,1877173
TROX,1156340
TRP,2081593
TRU,1570470
TRUP,637133
TRV,1427960
TS,2122246
TSCO,1109660
TSEM,506198
TSHA,1570095
TSLA,138928660
TSM,14296094
TSN,3076942
TSP,3396001
TSVT,633487
TT,1341825
TTC,616894
TTCF,1152353
TTD,4937872
TTE,1846940
TTI,1170577
TTMI,508387
TTWO,2011976
TU,1522199
TUP,1215262
TUYA,724331
TV,3189421
TVTX,1140955
TW,915785
TWKS,731472
TWLO,4685982
TWNK,1030441
TWO,1212963
TWOU,1062324
TWST,1239474
TXG,1161192
TXN,5559943
TXRH,888527
TXT,1394032
TYDE,4196329
U,11269780
UA,3054921
UAA,8340823
UAL,8537256
UAVS,607922
UBER,24216427
UBS,3386852
UBSI,674806
UBX,552752
UCBI,639969
UDMY,524076
UDR,2450732
UE,957505
UEC,8368639
UGI,1294948
UGP,1505870
UHS,711852
UIS,1056330
UL,2312649
ULCC,1019565
ULTA,654144
UMC,8927120
UNCY,3022044
UNFI,587098
UNH,3308267
UNIT,2898662
UNM,1619827
UNP,3390007
UNVR,2135612
UP,1537853
UPS,3152182
UPST,5974405
UPWK,1495932
URBN,1776218
URG,1210579
URI,773097
UROY,616424
USA,784935
USB,11619042
USFD,1872067
UTRS,1021132
UUUU,1890347
UWMC,1112616
V,6739615
VAL,895583
VALE,31258206
VBIV,890071
VBLT,2793175
VCSA,1800231
VCYT,856000
VEEV,1056255
VERA,509658
VERB,4163156
VERI,590423
VERO,1189193
VERU,3434092
VERV,842437
VET,1979652
VEV,513510
VFC,7911771
VFF,1093162
VGR,846611
VHC,512632
VIAV,1833261
VICI,6181101
VIEW,1286159
VIPS,5492206
VIR,938085
VIRT,1170021
VIST,704616
VIV,2161839
VKTX,3477917
VLD,1607738
VLO,4078990
VLON,4692828
VLTA,3994011
VLY,3329102
VMC,734446
VMEO,2105919
VMW,1074856
VNDA,582023
VNET,1833872
VNO,4250663
VNT,1273392
VNTR,522898
VOD,8446354
VORB,2543561
VOYA,1617760
VRAX,1375544
VRAY,867210
VRDN,557812
VRE,791000
VRM,4084989
VRNA,685690
VRNS,1374650
VRRM,1892042
VRSK,998726
VRSN,672077
VRT,3607693
VRTX,1362871
VS,1757784
VSAT,669827
VSCO,1396191
VSH,974901
VST,3801160
VSTM,1231024
VSTO,616073
VTGN,5955595
VTLE,706537
VTNR,2880764
VTR,2218708
VTRS,9286488
VTS,644004
VTYX,684291
VUZI,814826
VVOS,1462294
VVR,887559
VVV,1568098
VXRT,2646898
VZ,22714152
W,5417824
WAB,906169
WAFD,609088
WAL,3505435
WB,1363253
WBA,7047727
WBD,24145796
WBS,1205385
WCN,1005174
WDAY,2112561
WDC,4746540
WDH,581712
WDS,625037
WE,8359028
WEC,1472110
WELL,2680187
WEN,2441175
WERN,542149
WES,1021235
WETG,1513580
WFC,20641224
WFRD,822600
WGO,517906
WGS,3047062
WH,814296
WHR,774011
WIMI,810761
WING,649371
WISA,726244
WISH,25550605
WIT,2571404
WIX,755925
WKHS,3708644
WLDS,943814
WLK,701438
WM,1762160
WMB,6886684
WMG,1384023
WMS,984316
WMT,6409035
WNC,529448
WNW,1739385
WOLF,2582777
WOOF,2469379
WPC,975385
WPM,2465845
WPRT,531054
WRB,1396650
WRBY,1138827
WRK,2171480
WSC,1786030
WSM,1141295
WST,678603
WT,996759
WTER,1070435
WTFC,518127
WTI,3064988
WTRG,1179532
WTTR,743069
WTW,563377
WU,7008236
WULF,1469405
WVE,570411
WW,2779458
WWE,869408
WWW,1390702
WY,4013719
WYNN,3129682
X,8105238
XEL,3127398
XELA,93849882
XERS,962765
XFOR,1077919
XHR,685164
XM,3045614
XMTR,672333
XOM,17865636
XP,5193204
XPEV,25692074
XPO,1802452
XPON,1691106
XPRO,694817
XRAY,2181894
XRX,1488824
XXII,1305748
XYL,1275198
YELL,864804
YELP,666162
YETI,1298899
YEXT,1061099
YMAB,511169
YMM,6929143
YOU,1119761
YPF,2483566
YSG,1634220
YUM,1690106
YUMC,2082886
YY,650144
Z,3552562
ZBH,1316310
ZETA,1071656
ZEV,1681702
ZG,687153
ZH,4966139
ZI,5077036
ZIM,4377834
ZIMV,634829
ZION,2533757
ZIP,850241
ZLAB,682700
ZM,3827283
ZNTL,541983
ZOM,7706444
ZS,2596523
ZTO,2908104
ZTS,2249440
ZUO,1090746
ZWS,1401127
ZYME,1078992
